name,distribution,totalTime,avgTimePerHash,avgDeviationFromPerfectPercentage,probeCount
standard,"50 50",3905.1084518433,0.011157452719552,0.152,3
accurate,"50 50",8439.6295547485,0.024113227299282,0.027000000000001,5
"crc32, md4","50 50",3078.8445472717,0.0087966987064907,0.155,2
"crc32, md5","50 50",3061.6960525513,0.0087477030072893,0.040999999999997,2
"crc32, sha1","50 50",3164.1232967377,0.0090403522763933,0.00099999999999767,2
"crc32, sha256","50 50",4933.3131313324,0.014095180375235,0.13399999999999,2
"crc32, sha3-224","50 50",3897.8435993195,0.011136695998056,0.0089999999999932,2
"crc32, sha512","50 50",5572.1549987793,0.015920442853655,0.225,2
"md4, md5","50 50",3372.9021549225,0.0096368632997785,0.126,2
"md4, sha1","50 50",3777.3973941803,0.010792563983372,0.104,2
"md4, sha256","50 50",5201.7867565155,0.014862247875759,0.203,2
"md4, sha3-224","50 50",4201.7300128937,0.012004942893982,0.090999999999994,2
"md4, sha512","50 50",5938.3091926575,0.016966597693307,0.155,2
"md5, sha1","50 50",3538.1045341492,0.010108870097569,0.167,2
"md5, sha256","50 50",5315.1950836182,0.01518627166748,0.040999999999997,2
"md5, sha3-224","50 50",4385.9362602234,0.012531246457781,0.194,2
"md5, sha512","50 50",6030.0450325012,0.017228700092861,0.062999999999995,2
"sha1, sha256","50 50",5299.8473644257,0.015142421041216,0.030000000000001,2
"sha1, sha3-224","50 50",4401.4918804169,0.012575691086905,0.024000000000001,2
"sha1, sha512","50 50",6067.0683383942,0.01733448096684,0.139,2
"sha256, sha3-224","50 50",6129.0411949158,0.017511546271188,0.099999999999994,2
"sha256, sha512","50 50",7760.4200839996,0.022172628811428,0.051000000000002,2
"sha3-224, sha512","50 50",6880.2466392517,0.019657847540719,0.21100000000001,2
"crc32, md4, md5","50 50",4520.4741954803,0.012915640558515,0.116,3
"crc32, md4, sha1","50 50",4458.0862522125,0.012737389292036,0.13300000000001,3
"crc32, md4, sha256","50 50",6396.3041305542,0.018275154658726,0.032999999999994,3
"crc32, md4, sha3-224","50 50",5264.1258239746,0.01504035949707,0.124,3
"crc32, md4, sha512","50 50",6991.0087585449,0.0199743107387,0.032999999999994,3
"crc32, md5, sha1","50 50",4616.5196895599,0.013190056255886,0.055000000000007,3
"crc32, md5, sha256","50 50",6577.5916576385,0.018793119021824,0.128,3
"crc32, md5, sha3-224","50 50",5448.4276771545,0.015566936220442,0.25900000000001,3
"crc32, md5, sha512","50 50",7334.6512317657,0.020956146376474,0.193,3
"crc32, sha1, sha256","50 50",6500.8952617645,0.018573986462184,0.015999999999998,3
"crc32, sha1, sha3-224","50 50",5506.9379806519,0.015734108516148,0.143,3
"crc32, sha1, sha512","50 50",7177.6950359344,0.02050770010267,0.246,3
"crc32, sha256, sha3-224","50 50",7212.2163772583,0.020606332506452,0.086999999999996,3
"crc32, sha256, sha512","50 50",8818.8126087189,0.025196607453482,0.32600000000001,3
"crc32, sha3-224, sha512","50 50",7936.9122982025,0.022676892280579,0.018000000000001,3
"md4, md5, sha1","50 50",4986.6831302643,0.014247666086469,0.046999999999997,3
"md4, md5, sha256","50 50",6712.4905586243,0.019178544453212,0.105,3
"md4, md5, sha3-224","50 50",6069.1528320312,0.017340436662946,0.016999999999996,3
